600.perlbench_s-1273B.champsimtrace,2.71274,4167,1514,2653,18242460,18236921,5539,12659,12363,296,13270110,13251686,18424
602.gcc_s-1850B.champsimtrace,0.425527,1206647,316393,890254,16689494,13494463,3195031,16247,1029,15218,13604695,13489718,114977
603.bwaves_s-2931B.champsimtrace,0.701375,1162817,412699,750118,16949491,14545735,2403756,54149,43505,10644,13874537,13797823,76714
605.mcf_s-1536B.champsimtrace,0.343214,4778194,2238592,2539602,13518730,7980239,5538491,1312812,191392,1121420,12370220,8647657,3722563
607.cactuBSSN_s-2421B.champsimtrace,2.06594,5367760,4923534,444226,25868098,15190327,10677771,2216830,2213772,3058,16836547,13109376,3727171
619.lbm_s-2676B.champsimtrace,0.245122,6268294,4150034,2118260,121877103,8139791,113737312,58518,26765,31753,12359592,12136638,222954
620.omnetpp_s-141B.champsimtrace,0.460313,1663880,736428,927452,21616153,19585536,2030617,1081813,836930,244883,18148310,16575473,1572837
621.wrf_s-575B.champsimtrace,1.82446,2136,897,1239,9699223,9695674,3549,1755,1707,48,8896277,8893402,2875
623.xalancbmk_s-165B.champsimtrace,1.10261,951626,601,951025,14809671,10890842,3918829,17495,17435,60,14333019,14226870,106149
625.x264_s-12B.champsimtrace,2.79204,16783,4925,11858,11411758,11361970,49788,3374,3218,156,10464564,10454542,10022
627.cam4_s-490B.champsimtrace,1.75192,1261608,675958,585650,11388960,6130841,5258119,15744,14887,857,9415449,9341765,73684
628.pop2_s-17B.champsimtrace,2.2067,1364925,952924,412001,14190747,10743893,3446854,43914,41451,2463,13260097,13125219,134878
631.deepsjeng_s-928B.champsimtrace,1.31566,120222,92209,28013,15808348,15668881,139467,13726,4586,9140,13070108,13005581,64527
638.imagick_s-10316B.champsimtrace,3.8326,445731,443772,1959,8614267,6367256,2247011,23197,23166,31,8597828,8459567,138261
641.leela_s-149B.champsimtrace,1.26885,301090,205157,95933,16624786,15525431,1099355,20443,19893,550,13612971,13560569,52402
644.nab_s-12459B.champsimtrace,1.68639,323170,301812,21358,14563157,14035917,527240,11020,10880,140,11834358,11809865,24493
648.exchange2_s-387B.champsimtrace,1.27634,23093,21966,1127,14294689,14293849,840,37,0,37,11941676,11941623,53
649.fotonik3d_s-1176B.champsimtrace,1.20999,1101190,662684,438506,16805334,13826755,2978579,11647,4784,6863,13474612,13387962,86650
654.roms_s-293B.champsimtrace,1.57063,866730,348793,517937,17856360,13432649,4423711,12871,7832,5039,14828386,14509508,318878
657.xz_s-4994B.champsimtrace,1.74787,25612,16482,9130,8198695,8090788,107907,309,154,155,7188084,7179891,8193
